Year,Indicator,ISO,Country,Industry,Unit of measure,Value
2005,Business R&D expenditure,AUS,Australia,High digital-intensive industries,Share of total business enterprise expenditure on R&D,20.111
2006,Business R&D expenditure,AUS,Australia,High digital-intensive industries,Share of total business enterprise expenditure on R&D,37.656
2007,Business R&D expenditure,AUS,Australia,High digital-intensive industries,Share of total business enterprise expenditure on R&D,37.036
2008,Business R&D expenditure,AUS,Australia,High digital-intensive industries,Share of total business enterprise expenditure on R&D,36.616
2009,Business R&D expenditure,AUS,Australia,High digital-intensive industries,Share of total business enterprise expenditure on R&D,39.858
2010,Business R&D expenditure,AUS,Australia,High digital-intensive industries,Share of total business enterprise expenditure on R&D,40.002
2011,Business R&D expenditure,AUS,Australia,High digital-intensive industries,Share of total business enterprise expenditure on R&D,41.363
2012,Business R&D expenditure,AUS,Australia,High digital-intensive industries,Share of total business enterprise expenditure on R&D,38.539
2013,Business R&D expenditure,AUS,Australia,High digital-intensive industries,Share of total business enterprise expenditure on R&D,40.113
2014,Business R&D expenditure,AUS,Australia,High digital-intensive industries,Share of total business enterprise expenditure on R&D,31.533
2015,Business R&D expenditure,AUS,Australia,High digital-intensive industries,Share of total business enterprise expenditure on R&D,34.462
2016,Business R&D expenditure,AUS,Australia,High digital-intensive industries,Share of total business enterprise expenditure on R&D,34.659
2017,Business R&D expenditure,AUS,Australia,High digital-intensive industries,Share of total business enterprise expenditure on R&D,33.694
2018,Business R&D expenditure,AUS,Australia,High digital-intensive industries,Share of total business enterprise expenditure on R&D,33.711
2019,Business R&D expenditure,AUS,Australia,High digital-intensive industries,Share of total business enterprise expenditure on R&D,34.471
2005,Business R&D expenditure,AUS,Australia,Telecommunications,Share of GDP,0.035
2006,Business R&D expenditure,AUS,Australia,Telecommunications,Share of GDP,0.058
2007,Business R&D expenditure,AUS,Australia,Telecommunications,Share of GDP,0.048
2008,Business R&D expenditure,AUS,Australia,Telecommunications,Share of GDP,0.047
2009,Business R&D expenditure,AUS,Australia,Telecommunications,Share of GDP,0.022
2010,Business R&D expenditure,AUS,Australia,Telecommunications,Share of GDP,0.025
2011,Business R&D expenditure,AUS,Australia,Telecommunications,Share of GDP,0.032
2012,Business R&D expenditure,AUS,Australia,Telecommunications,Share of GDP,0.028
2013,Business R&D expenditure,AUS,Australia,Telecommunications,Share of GDP,0.015
2005,Business R&D expenditure,AUS,Australia,Telecommunications,Share of total business enterprise expenditure on R&D,3.319
2006,Business R&D expenditure,AUS,Australia,Telecommunications,Share of total business enterprise expenditure on R&D,4.969
2007,Business R&D expenditure,AUS,Australia,Telecommunications,Share of total business enterprise expenditure on R&D,3.787
2008,Business R&D expenditure,AUS,Australia,Telecommunications,Share of total business enterprise expenditure on R&D,3.424
2009,Business R&D expenditure,AUS,Australia,Telecommunications,Share of total business enterprise expenditure on R&D,1.745
2010,Business R&D expenditure,AUS,Australia,Telecommunications,Share of total business enterprise expenditure on R&D,1.953
2011,Business R&D expenditure,AUS,Australia,Telecommunications,Share of total business enterprise expenditure on R&D,2.631
2012,Business R&D expenditure,AUS,Australia,Telecommunications,Share of total business enterprise expenditure on R&D,2.322
2013,Business R&D expenditure,AUS,Australia,Telecommunications,Share of total business enterprise expenditure on R&D,1.265
2006,Business R&D expenditure,AUS,Australia,"Publishing, audiovisual and broadcasting",Share of GDP,0.013
2007,Business R&D expenditure,AUS,Australia,"Publishing, audiovisual and broadcasting",Share of GDP,0.019
2008,Business R&D expenditure,AUS,Australia,"Publishing, audiovisual and broadcasting",Share of GDP,0.017
2009,Business R&D expenditure,AUS,Australia,"Publishing, audiovisual and broadcasting",Share of GDP,0.013
2010,Business R&D expenditure,AUS,Australia,"Publishing, audiovisual and broadcasting",Share of GDP,0.013
2011,Business R&D expenditure,AUS,Australia,"Publishing, audiovisual and broadcasting",Share of GDP,0.012
2012,Business R&D expenditure,AUS,Australia,"Publishing, audiovisual and broadcasting",Share of GDP,0.014
2013,Business R&D expenditure,AUS,Australia,"Publishing, audiovisual and broadcasting",Share of GDP,0.017
2006,Business R&D expenditure,AUS,Australia,"Publishing, audiovisual and broadcasting",Share of total business enterprise expenditure on R&D,1.156
2007,Business R&D expenditure,AUS,Australia,"Publishing, audiovisual and broadcasting",Share of total business enterprise expenditure on R&D,1.453
2008,Business R&D expenditure,AUS,Australia,"Publishing, audiovisual and broadcasting",Share of total business enterprise expenditure on R&D,1.227
2009,Business R&D expenditure,AUS,Australia,"Publishing, audiovisual and broadcasting",Share of total business enterprise expenditure on R&D,1.021
2010,Business R&D expenditure,AUS,Australia,"Publishing, audiovisual and broadcasting",Share of total business enterprise expenditure on R&D,1.03
2011,Business R&D expenditure,AUS,Australia,"Publishing, audiovisual and broadcasting",Share of total business enterprise expenditure on R&D,0.985
2012,Business R&D expenditure,AUS,Australia,"Publishing, audiovisual and broadcasting",Share of total business enterprise expenditure on R&D,1.161
2013,Business R&D expenditure,AUS,Australia,"Publishing, audiovisual and broadcasting",Share of total business enterprise expenditure on R&D,1.455
2005,Business R&D expenditure,AUS,Australia,"Computer, electronic and optical products",Share of GDP,0.025
2006,Business R&D expenditure,AUS,Australia,"Computer, electronic and optical products",Share of GDP,0.026
2007,Business R&D expenditure,AUS,Australia,"Computer, electronic and optical products",Share of GDP,0.027
2008,Business R&D expenditure,AUS,Australia,"Computer, electronic and optical products",Share of GDP,0.032
2009,Business R&D expenditure,AUS,Australia,"Computer, electronic and optical products",Share of GDP,0.028
2010,Business R&D expenditure,AUS,Australia,"Computer, electronic and optical products",Share of GDP,0.026
2011,Business R&D expenditure,AUS,Australia,"Computer, electronic and optical products",Share of GDP,0.024
2005,Business R&D expenditure,AUS,Australia,"Computer, electronic and optical products",Share of total business enterprise expenditure on R&D,2.431
2006,Business R&D expenditure,AUS,Australia,"Computer, electronic and optical products",Share of total business enterprise expenditure on R&D,2.277
2007,Business R&D expenditure,AUS,Australia,"Computer, electronic and optical products",Share of total business enterprise expenditure on R&D,2.137
2008,Business R&D expenditure,AUS,Australia,"Computer, electronic and optical products",Share of total business enterprise expenditure on R&D,2.329
2009,Business R&D expenditure,AUS,Australia,"Computer, electronic and optical products",Share of total business enterprise expenditure on R&D,2.192
2010,Business R&D expenditure,AUS,Australia,"Computer, electronic and optical products",Share of total business enterprise expenditure on R&D,2.076
2011,Business R&D expenditure,AUS,Australia,"Computer, electronic and optical products",Share of total business enterprise expenditure on R&D,1.962
2005,Business R&D expenditure,AUS,Australia,Information industries (ISIC 26+58-63),Share of GDP,0.152
2006,Business R&D expenditure,AUS,Australia,Information industries (ISIC 26+58-63),Share of GDP,0.181
2007,Business R&D expenditure,AUS,Australia,Information industries (ISIC 26+58-63),Share of GDP,0.18
2008,Business R&D expenditure,AUS,Australia,Information industries (ISIC 26+58-63),Share of GDP,0.179
2009,Business R&D expenditure,AUS,Australia,Information industries (ISIC 26+58-63),Share of GDP,0.146
2010,Business R&D expenditure,AUS,Australia,Information industries (ISIC 26+58-63),Share of GDP,0.144
2011,Business R&D expenditure,AUS,Australia,Information industries (ISIC 26+58-63),Share of GDP,0.146
2012,Business R&D expenditure,AUS,Australia,Information industries (ISIC 26+58-63),Share of GDP,0.137
2013,Business R&D expenditure,AUS,Australia,Information industries (ISIC 26+58-63),Share of GDP,0.15
2014,Business R&D expenditure,AUS,Australia,Information industries (ISIC 26+58-63),Share of GDP,0.146
2015,Business R&D expenditure,AUS,Australia,Information industries (ISIC 26+58-63),Share of GDP,0.143
2016,Business R&D expenditure,AUS,Australia,Information industries (ISIC 26+58-63),Share of GDP,0.156
2017,Business R&D expenditure,AUS,Australia,Information industries (ISIC 26+58-63),Share of GDP,0.168
2018,Business R&D expenditure,AUS,Australia,Information industries (ISIC 26+58-63),Share of GDP,0.178
2019,Business R&D expenditure,AUS,Australia,Information industries (ISIC 26+58-63),Share of GDP,0.184
2005,Business R&D expenditure,AUS,Australia,Information industries (ISIC 26+58-63),Share of total business enterprise expenditure on R&D,14.549
2006,Business R&D expenditure,AUS,Australia,Information industries (ISIC 26+58-63),Share of total business enterprise expenditure on R&D,15.578
2007,Business R&D expenditure,AUS,Australia,Information industries (ISIC 26+58-63),Share of total business enterprise expenditure on R&D,14.146
2008,Business R&D expenditure,AUS,Australia,Information industries (ISIC 26+58-63),Share of total business enterprise expenditure on R&D,13.074
2009,Business R&D expenditure,AUS,Australia,Information industries (ISIC 26+58-63),Share of total business enterprise expenditure on R&D,11.371
2010,Business R&D expenditure,AUS,Australia,Information industries (ISIC 26+58-63),Share of total business enterprise expenditure on R&D,11.377
2011,Business R&D expenditure,AUS,Australia,Information industries (ISIC 26+58-63),Share of total business enterprise expenditure on R&D,11.984
2012,Business R&D expenditure,AUS,Australia,Information industries (ISIC 26+58-63),Share of total business enterprise expenditure on R&D,11.416
2013,Business R&D expenditure,AUS,Australia,Information industries (ISIC 26+58-63),Share of total business enterprise expenditure on R&D,12.712
2014,Business R&D expenditure,AUS,Australia,Information industries (ISIC 26+58-63),Share of total business enterprise expenditure on R&D,13.391
2015,Business R&D expenditure,AUS,Australia,Information industries (ISIC 26+58-63),Share of total business enterprise expenditure on R&D,14.245
2016,Business R&D expenditure,AUS,Australia,Information industries (ISIC 26+58-63),Share of total business enterprise expenditure on R&D,15.961
2017,Business R&D expenditure,AUS,Australia,Information industries (ISIC 26+58-63),Share of total business enterprise expenditure on R&D,17.767
2018,Business R&D expenditure,AUS,Australia,Information industries (ISIC 26+58-63),Share of total business enterprise expenditure on R&D,19.071
